ticker,seed,algo,shortfall_bps,shortfall_adj_bps,fill_rate,X
TSLA,30002,POV,29.2633,-44.7291,1,200600
TSLA,30002,AC,13.4648,-60.5276,1,200600
TSLA,30002,Adaptive,29.853,-44.1393,0.940678,200600
TSLA,30003,TWAP,19.8103,0.867823,1,200600
TSLA,30003,VWAP,19.4422,0.499769,1,200600
TSLA,30003,POV,12.4844,-6.45801,1,200600
TSLA,30003,AC,2.62575,-16.3167,1,200600
TSLA,30003,Adaptive,0.184683,-18.7578,1,200600
TSLA,30000,TWAP,0.75446,2.46366,1,200600
TSLA,30000,VWAP,1.06557,2.77477,1,200600
TSLA,30000,POV,6.39689,8.10609,1,200600
TSLA,30000,AC,6.15235,7.86155,1,200600
TSLA,30000,Adaptive,3.11878,4.82798,1,200600
TSLA,30001,TWAP,-13.784,2.91354,1,200600
TSLA,30001,VWAP,-13.3745,3.32311,1,200600
TSLA,30001,POV,0.949484,17.6471,1,200600
TSLA,30001,AC,5.54062,22.2382,1,200600
TSLA,30001,Adaptive,1.27588,17.9735,1,200600
SPY,30002,TWAP,20.2444,0.0107159,1,236600
SPY,30002,VWAP,19.8797,-0.353988,1,236600
SPY,30002,POV,6.21341,-14.0203,1,236600
SPY,30002,AC,0.325288,-19.9084,1,236600
SPY,30002,Adaptive,3.08319,-17.1505,1,236600
SPY,30003,TWAP,5.38628,0.233935,1,236600
SPY,30003,VWAP,5.28186,0.129516,1,236600
SPY,30003,POV,2.55102,-2.60133,1,236600
SPY,30003,AC,-0.691408,-5.84376,1,236600
SPY,30003,Adaptive,-1.48544,-6.63779,1,236600
SPY,30000,TWAP,0.271609,0.799725,1,236600
SPY,30000,VWAP,0.32899,0.857106,1,236600
SPY,30000,POV,1.89141,2.41952,1,236600
SPY,30000,AC,1.35429,1.8824,1,236600
SPY,30000,Adaptive,0.520625,1.04874,1,236600
SPY,30001,TWAP,-3.68999,1.00723,1,236600
SPY,30001,VWAP,-3.5859,1.11132,1,236600
SPY,30001,POV,0.89099,5.58821,1,236600
SPY,30001,AC,2.56322,7.26044,1,236600
SPY,30001,Adaptive,0.863552,5.56078,1,236600
AAPL,30002,TWAP,40.0174,0.367119,1,240600
AAPL,30002,VWAP,39.0983,-0.551969,1,240600
AAPL,30002,POV,11.9401,-27.7101,1,240600
AAPL,30002,AC,8.98573,-30.6645,1,240600
AAPL,30002,Adaptive,9.42368,-30.2266,0.987947,240600
AAPL,30003,TWAP,10.8935,0.553246,1,240600
AAPL,30003,VWAP,10.7959,0.455699,1,240600
AAPL,30003,POV,5.57091,-4.76931,1,240600
AAPL,30003,AC,2.72262,-7.6176,1,240600
AAPL,30003,Adaptive,-0.581478,-10.9217,1,240600
AAPL,30000,TWAP,0.895992,1.59333,1,240600
AAPL,30000,VWAP,1.05889,1.75623,1,240600
AAPL,30000,POV,4.23419,4.93153,1,240600
AAPL,30000,AC,1.78777,2.48511,1,240600
AAPL,30000,Adaptive,-0.182187,0.515151,1,240600
AAPL,30001,TWAP,-6.94336,1.9586,1,240600
AAPL,30001,VWAP,-6.57315,2.32882,1,240600
AAPL,30001,POV,2.10881,11.0108,1,240600
AAPL,30001,AC,2.84489,11.7469,1,240600
AAPL,30001,Adaptive,-0.759997,8.14197,1,240600
