size_pct,vol_mult,seed,algo,lambda,X,shortfall_bps,shortfall_adj_bps,cv_bps,vs_vwap_bps,fill_rate,participation,forced_shares,final_move_bps
0.001,1,10003,POV,,33000,-25.1547,6.26803,-31.4227,5.41507,1,0.0134272,0,-66.6135
0.001,1,10003,AC,1e-07,33000,-25.8936,5.5291,-31.4227,4.78384,1,0.0135213,0,-66.7144
0.001,1,10003,AC,1e-06,33000,-18.8133,12.6095,-31.4227,11.9417,1,0.0134441,0,-66.8154
0.001,1,10003,AC,1e-05,33000,-14.6183,16.8045,-31.4227,15.951,1,0.0137003,0,-66.5126
0.001,1,10003,Adaptive,1e-07,33000,-23.3233,8.09944,-31.4227,7.39359,1,0.0132578,0,-66.6135
0.001,1,10003,Adaptive,1e-06,33000,-17.8113,13.6114,-31.4227,12.9133,1,0.0137049,0,-66.6135
0.001,1,10003,Adaptive,1e-05,33000,-15.041,16.3818,-31.4227,15.6875,1,0.0134032,0,-66.7144
0.001,1,10005,TWAP,,33000,-6.75616,-0.633104,-6.12306,-0.228622,1,0.0136867,0,33.2058
0.001,1,10005,VWAP,,33000,-6.75616,-0.633104,-6.12306,-0.228622,1,0.0136867,0,33.2058
0.001,1,10005,POV,,33000,6.20931,12.3324,-6.12306,13.0147,1,0.0134854,0,32.903
0.001,1,10005,AC,1e-07,33000,1.02642,7.14948,-6.12306,7.72598,1,0.0134765,0,33.004
0.001,1,10005,AC,1e-06,33000,5.34254,11.4656,-6.12306,12.0453,1,0.0137146,0,33.1049
0.001,1,10005,AC,1e-05,33000,2.47063,8.59369,-6.12306,9.23285,1,0.0135585,0,33.1049
0.001,1,10005,Adaptive,1e-07,33000,-6.80449,-0.681427,-6.12306,-0.220489,1,0.0135041,0,32.903
0.001,1,10005,Adaptive,1e-06,33000,1.67543,7.79849,-6.12306,8.49048,1,0.0135179,0,32.903
0.001,1,10005,Adaptive,1e-05,33000,1.7629,7.88596,-6.12306,8.71046,1,0.0135613,0,32.903
0.005,1,10000,TWAP,,165100,-9.27103,0.0111241,-9.28216,0.549335,1,0.0646969,0,6.56042
0.005,1,10000,VWAP,,165100,-9.42093,-0.138773,-9.28216,0.516116,1,0.0646032,0,6.35856
0.005,1,10000,POV,,165100,-16.5056,-7.2234,-9.28216,-7.04606,1,0.065082,0,5.75298
0.005,1,10000,AC,1e-07,165100,-9.89311,-0.610959,-9.28216,-0.188263,1,0.0642213,0,5.95484
0.005,1,10000,AC,1e-06,165100,-13.0414,-3.75928,-9.28216,-3.45656,1,0.0646285,0,6.1567
0.005,1,10000,AC,1e-05,165100,-10.5201,-1.23793,-9.28216,-1.36506,1,0.0650743,0,4.84462
0.005,1,10000,Adaptive,1e-07,165100,-19.2786,-9.99649,-9.28216,-9.87275,1,0.0652905,0,5.04648
0.005,1,10000,Adaptive,1e-06,165100,-16.0732,-6.79108,-9.28216,-6.69951,1,0.0642537,0,6.66135
0.005,1,10000,Adaptive,1e-05,165100,-12.7718,-3.48968,-9.28216,-3.28319,1,0.0643589,0,5.04648
0.001,1,10002,TWAP,,33000,-5.59456,-1.517,-4.07755,0.59764,1,0.0137914,0,41.0783
0.001,1,10002,VWAP,,33000,-5.59456,-1.517,-4.07755,0.59764,1,0.0137914,0,41.0783
0.001,1,10002,POV,,33000,-17.6125,-13.535,-4.07755,-11.7372,1,0.0137517,0,41.482
0.001,1,10002,AC,1e-07,33000,-11.1506,-7.07302,-4.07755,-4.99503,1,0.0137764,0,41.7848
0.001,1,10002,AC,1e-06,33000,-17.3415,-13.264,-4.07755,-11.5973,1,0.0138498,0,42.0876
0.001,1,10002,AC,1e-05,33000,-13.5955,-9.51796,-4.07755,-7.70141,1,0.0137186,0,41.7848
0.001,1,10002,Adaptive,1e-07,33000,-16.6283,-12.5507,-4.07755,-10.6203,1,0.0138035,0,41.0783
0.001,1,10002,Adaptive,1e-06,33000,-19.7039,-15.6263,-4.07755,-13.5773,1,0.0138924,0,41.3811
0.001,1,10002,Adaptive,1e-05,33000,-13.6567,-9.57913,-4.07755,-7.65555,1,0.0138778,0,41.482
0.005,1,10002,TWAP,,165100,-4.75225,-0.674694,-4.07755,0.696047,0.996366,0.0652752,0,42.4913
0.005,1,10002,VWAP,,165100,-4.98376,-0.906202,-4.07755,0.569912,0.996972,0.0661496,0,43.3997
0.005,1,10002,POV,,165100,-11.3115,-7.23395,-4.07755,-6.01712,1,0.0664226,0,42.3904
0.005,1,10002,AC,1e-07,165100,-10.2901,-6.21255,-4.07755,-4.52947,1,0.0653215,0,41.7848
0.005,1,10002,AC,1e-06,165100,-14.213,-10.1354,-4.07755,-9.12161,1,0.066252,0,42.3904
0.005,1,10002,AC,1e-05,165100,-13.5493,-9.47177,-4.07755,-8.41267,1,0.0651822,0,41.9867
0.005,1,10002,Adaptive,1e-07,165100,-14.0354,-9.95789,-4.07755,-8.67892,1,0.0656096,0,42.6932
0.005,1,10002,Adaptive,1e-06,165100,-15.0584,-10.9809,-4.07755,-9.85363,1,0.0662414,0,42.8951
0.005,1,10002,Adaptive,1e-05,165100,-13.9096,-9.83208,-4.07755,-8.60929,1,0.0654613,0,42.8951
0.001,1,10004,TWAP,,33000,-37.2473,1.36836,-38.6157,-0.413416,1,0.0135886,0,-50.2629
0.001,1,10004,VWAP,,33000,-37.2473,1.36836,-38.6157,-0.413416,1,0.0135886,0,-50.2629
0.001,1,10004,POV,,33000,-12.7691,25.8465,-38.6157,24.5539,1,0.013792,0,-49.8592
0.001,1,10004,AC,1e-07,33000,-21.9788,16.6369,-38.6157,14.6723,1,0.0137787,0,-49.6573
0.001,1,10004,AC,1e-06,33000,-5.15536,33.4603,-38.6157,31.3082,1,0.013893,0,-50.162
0.001,1,10004,AC,1e-05,33000,-2.21862,36.397,-38.6157,34.8933,1,0.0136184,0,-49.8592
0.001,1,10004,Adaptive,1e-07,33000,-17.5409,21.0747,-38.6157,19.5413,1,0.0138174,0,-50.2629
0.001,1,10004,Adaptive,1e-06,33000,-4.72901,33.8866,-38.6157,32.326,1,0.0137311,0,-50.2629
0.001,1,10004,Adaptive,1e-05,33000,-3.14105,35.4746,-38.6157,33.8347,1,0.0138278,0,-50.0611
0.001,1,10001,TWAP,,33000,2.03572,0.0608636,1.97486,-0.196329,1,0.0137305,0,-17.9655
0.001,1,10001,VWAP,,33000,2.03572,0.0608636,1.97486,-0.196329,1,0.0137305,0,-17.9655
0.001,1,10001,POV,,33000,26.9568,24.9819,1.97486,24.875,1,0.0137248,0,-17.8645
0.001,1,10001,AC,1e-07,33000,15.296,13.3212,1.97486,13.409,1,0.0136229,0,-18.0664
0.001,1,10001,AC,1e-06,33000,23.708,21.7332,1.97486,21.4582,1,0.0137266,0,-17.9655
0.001,1,10001,AC,1e-05,33000,20.975,19.0001,1.97486,18.6822,1,0.0140426,0,-17.9655
0.001,1,10001,Adaptive,1e-07,33000,-5.86064,-7.8355,1.97486,-8.06805,1,0.0137517,0,-17.6627
0.001,1,10001,Adaptive,1e-06,33000,9.58892,7.61406,1.97486,7.0879,1,0.0136307,0,-17.6627
0.001,1,10001,Adaptive,1e-05,33000,17.4449,15.4701,1.97486,15.2935,1,0.0139317,0,-18.3692
